normal,modified,diff
5.507469177246094e-05,7.200241088867188e-05,0E+541
4.100799560546875e-05,0.00010895729064941406,0E+542
4.220008850097656e-05,8.893013000488281e-05,0E+544
3.790855407714844e-05,7.295608520507812e-05,0E+546
3.719329833984375e-05,7.081031799316406e-05,0E+547
3.600120544433594e-05,6.985664367675781e-05,0E+549
3.719329833984375e-05,7.081031799316406e-05,0E+551
3.695487976074219e-05,7.104873657226562e-05,0E+552
3.600120544433594e-05,7.104873657226562e-05,0E+554
3.600120544433594e-05,7.104873657226562e-05,0E+555
3.695487976074219e-05,7.104873657226562e-05,0E+557
3.695487976074219e-05,7.605552673339844e-05,0E+559
3.600120544433594e-05,7.510185241699219e-05,0E+560
3.600120544433594e-05,7.390975952148438e-05,0E+562
3.695487976074219e-05,7.414817810058594e-05,0E+563
3.504753112792969e-05,7.390975952148438e-05,0E+565
3.600120544433594e-05,7.414817810058594e-05,0E+567
3.600120544433594e-05,7.414817810058594e-05,0E+568
3.504753112792969e-05,7.414817810058594e-05,0E+570
3.600120544433594e-05,7.390975952148438e-05,0E+571
3.600120544433594e-05,7.486343383789062e-05,0E+573
3.4809112548828125e-05,7.390975952148438e-05,0E+574
3.4809112548828125e-05,7.486343383789062e-05,0E+576
3.600120544433594e-05,7.510185241699219e-05,0E+577
3.600120544433594e-05,7.605552673339844e-05,0E+578
3.504753112792969e-05,7.700920104980469e-05,0E+580
3.600120544433594e-05,7.700920104980469e-05,0E+581
3.600120544433594e-05,7.700920104980469e-05,0E+583
3.504753112792969e-05,7.700920104980469e-05,0E+584
3.504753112792969e-05,7.796287536621094e-05,0E+585
3.504753112792969e-05,7.796287536621094e-05,0E+587
3.504753112792969e-05,7.796287536621094e-05,0E+588
3.4809112548828125e-05,8.0108642578125e-05,0E+589
3.504753112792969e-05,7.891654968261719e-05,0E+590
3.4809112548828125e-05,7.987022399902344e-05,0E+592
3.600120544433594e-05,7.987022399902344e-05,0E+593
3.600120544433594e-05,8.106231689453125e-05,0E+594
6.794929504394531e-05,0.0008308887481689453,0E+595
4.00543212890625e-05,0.00013399124145507812,0E+596
3.886222839355469e-05,0.0001201629638671875,0E+597
4.100799560546875e-05,9.918212890625e-05,0E+598
3.910064697265625e-05,0.0001239776611328125,0E+599
4.100799560546875e-05,9.989738464355469e-05,0E+600
